,TF,target,importance
808,ZNF493,ZNF215,2.5673936352894287
694,SMAD2,ZNF639,2.5664710225184244
355,ZNF517,MESP1,2.5649362203351775
969,ZNF180,ZNF239,2.5644861440820192
603,AEBP2,ZNF12,2.5637985875126303
20,ATF3,ZNF549,2.562993683672636
788,ZNF730,NFRKB,2.5628009213277427
355,ZNF517,TFAP2E,2.5612509477215
165,ZSCAN2,GABPB2,2.560740514428107
349,ARID3A,POU5F1,2.560717100792321
1045,TP73,ZNF554,2.5598257349722457
1023,CEBPG,ZFP37,2.557957196647478
428,IRF6,ATF2,2.557620188205705
1001,RFX2,TP53,2.556745434545805
147,DNAJC2,ZNF331,2.556654532550665
702,ZNF333,ZNF415,2.5566144670043647
477,ONECUT2,TAX1BP1,2.5546693278802053
520,ZNF396,ZNF333,2.5535355754466154
861,YY2,ZNF385A,2.5523725997225117
981,ZKSCAN2,ZNF583,2.5513889756973507
725,ZFY,NFE2L3,2.5510878915010022
826,ETV5,SMARCC1,2.550667600247283
64,SNAI3,ZNF2,2.5505801516149353
1099,TBX3,SUB1,2.5496677978960745
953,HOXB13,IRX2,2.5495158821028108
1064,ZNF841,ZNF518B,2.5494582434777127
359,MLXIPL,JAZF1,2.548149797894558
652,ZNF217,NFX1,2.5475907803463165
442,IRX2,ZNF217,2.5465109542891624
345,ATF4,BAZ2B,2.5463302416030875
333,PIAS4,ZNF70,2.5459030432121033
209,ZBTB18,TFAM,2.545899012468586
86,ZNF74,MSX2,2.5446869826425678
579,TTF1,ZXDA,2.5442674659759055
889,ELK4,USF2,2.54387058150777
5,HDX,ZNF587B,2.5428051783808976
785,ATF6,GMEB1,2.541090785275551
654,ZNF19,ZSCAN32,2.5408516394936043
271,ZSCAN31,ZFY,2.540465278279798
133,TOX3,TSC22D2,2.5395387470507265
381,HOXA5,SOX13,2.5391701554986845
344,CNBP,MTA3,2.538848345525986
907,ZNF777,ZNF263,2.5386277280836573
168,THAP11,FOSL2,2.53849857256656
155,ZNF787,RFXANK,2.5384220255770074
1037,PURB,GRHL2,2.537422318134903
737,SOX12,HNF1B,2.536485875042116
211,GPBP1,THAP8,2.5347000911105693
35,SOX9,ZNF554,2.5341834430655505
587,ZNF236,ZFP28,2.5339514746724254
160,TBX19,ZNF676,2.5314630652100893
1178,ASCL5,ZNF532,2.5313787284384546
334,MBD2,TP73,2.530421006224296
861,YY2,ZBTB22,2.5301898712853816
532,ZNF784,ZNF562,2.5292866937979235
806,SMARCAL1,ZNF148,2.5274032979737724
209,ZBTB18,CENPT,2.527262605396924
87,LEF1,ZNF784,2.5269230851313425
205,TCF7L2,FOXN2,2.524090989647538
683,ZNF234,ZNF792,2.522678215257195
976,ZNF544,ZNF317,2.5226073108395743
1142,TFCP2,FOXP1,2.522407856217258
114,ZNF354A,FOXD4,2.521260713116972
95,BHLHE40,PHTF1,2.521155433413418
708,ZNF280C,VAX1,2.5184964277231785
160,ZNF711,ZNF141,2.5175197921715875
521,ZNF93,ZNF436,2.51691447354837
306,ZNF684,ZNF234,2.5168942150304083
422,PRDM15,MAFG,2.516391737052032
148,ATF1,ZNF215,2.516302501947166
77,NFE2L3,ZNF814,2.5139498636321695
373,ZHX1,XBP1,2.513814228757546
740,ZNF764,PBX1,2.513755798914113
1078,ZNF419,ZNF12,2.5127789956211295
937,ZHX2,NFRKB,2.5118011829933193
1,HES7,GABPB2,2.509781778190987
503,ZNF446,POU5F1,2.509758830486554
566,ZNF689,ZNF776,2.507629683579598
344,CNBP,ZNF708,2.507453462055315
1092,HOXA10,LYAR,2.5070901507732275
252,ZNF496,ZNF485,2.506181439081387
649,IKZF3,TP53,2.5058662003983434
